idHerba;nom_comu;noms_comuns_coneguts;nom_cientific;familia;descripcio_fulla;descripcio_tija;descripcio_flor;inflorescencia;arrels;rebrots;fruits;llavors;habitat;epoca_recollida;remeis;receptes;toxicitat;parts_utilitzades
11;Figuera;Figuera comuna, cabrafiguera.;Ficus carica;Moràcies;Fulles grans, palmades (amb 3 o 5 lòbuls), aspres al tacte i amb nervadures molt marcades.;Tronc d escorça llisa i grisenca. Tota la planta conté un làtex blanc irritant.;Flors amagades dins d un receptacle carnós (el siconi), pol·linitzades per una petita vespa específica.;Siconi: el que anomenem fruit és en realitat una inflorescència invertida.;Arrels molt potents, extenses i invasives, capaces de foradar murs a la recerca d aigua.;Rebrota amb molta facilitat de la soca o mitjançant esqueixos.;La figa és un infrutescència (siconi) que conté centenars de petits fruits veritables (aquenis).;Les petites llavors que trobem dins la figa.;Zones de clima mediterrani, prop de fonts, horts i murs de pedra.;Estiu i tardor (figues i figues-flors). Fulles a la primavera.;El làtex de la tija s usa per cremar berrugues (amb precaució). Les fulles en decocció s han usat per a la circulació.;Figues fresques, seques, en melmelada o en pastissos. Fulles usades per embolcallar formatges o carns.;El làtex és fotosensibilitzant i pot causar dermatitis a la pell en contacte amb el sol.;siconi
13;Heura;Heura de bosc, heurera, hedra.;Hedera helix;Araliàcies;"Fulles persistents, coriàcies i brillants. Les de les tiges estèrils són lobulades (estrella); les de les tiges florals són ovades.";Tiges sarmentoses amb arrels aèries que s enganxen a qualsevol superfície per enfilar-se.;Flors petites, groc-verdoses, riques en nèctar (molt importants per a les abelles a la tardor).;Umbel·les globoses terminals.;Arrels subterrànies profundes i arrels aèries adventícies per fixació.;Alta capacitat de regeneració de qualsevol segment de tija.;Baies negres o porpres (a l hivern), d uns 6-8 mm.;D una a cinc llavors dins la baia.;Boscos humits, zones ombrívoles, murs i jardins.;Fulles durant tot l any.;Extracte de fulles en xarops medicinals per a la bronquitis (ús farmacèutic). Externament per a la cel·lulitis.;No és comestible.;Els fruits són tòpics per als humans (poden causar vòmits i purga severa). Les fulles també poden irritar el sistema digestiu.;Fulles i sumitats florides.
14;Llorer;Llor, lloure, llorer mascle.;Laurus nobilis;Lauràcies;Fulles perennes, coriàcies, lanceolades i de color verd fosc brillant, amb marges ondulats i aroma intensa.;Arbre o arbust de tronc llis i grisenc, molt ramificat.;Flors unisexuals, petites i de color blanc-groc.;Petites umbel·les axil·lars.;Sistema radicular potent i ramificat.;Emet molts rebrots de soca, formant sovint grups d arbres.;Baia ovoide, negra quan és madura, que s assembla a una petita oliva.;Una sola llavor gran per fruit.;Zones ombrívoles i humides, barrancs, i molt cultivat en jardins.;Tot l any, però millor abans de la floració a la primavera.;Digestiu (infusió de fulles), antireumàtic (oli de les baies) i antisèptic.;Condiment essencial en guisats, llegums, escabetxos i brous.;Les baies i el consum excessiu de fulles poden ser emètics (provocar vòmits). No confondre amb el llorer-cirer que és molt tòxic.;Fulles seques i fruits (baies).
15;Malva;Malva major, formatgets, vauma.;Malva sylvestris;Malvàcies;Fulles palmades, amb 5 o 7 lòbuls, de marge dentat i tacte suau per la presència de pèls fins.;Erecta o prostrada, ramificada i sovint amb pèls aspres.;Flors grans amb 5 pètals de color lila o rosat amb nervis foscos (color malva).;Fascicles de 2 a 8 flors a l axil·la de les fulles.;Arrel pivotant, gruixuda i blanca.;Planta vivaç que rebrota cada any des de la soca.;"Esquizocarp circular que se separa en diversos segments (mericarps), anomenats popularment ""formatgets"".";Llavors en forma de ronyó dins de cada segment.;Marges de camins, horts, descampats i llocs rics en nitrogen.;Primavera i estiu (flors i fulles).;Altament emol·lient i suavitzant. Per a irritacions de gola, estómac, i èczemes a la pell.;"Les fulles tendres i les flors es poden posar en amanida. Els fruits (""formatgets"") són comestibles.";Totalment segura.;flor, fulla, suc
16;Noguera;Noguer, anouer, nucier.;Juglans regia;Juglandàcies;Fulles grans, compostes per 5-9 folíols ovals, d aroma forta i amb tanins que tenyeixen les mans de negre.;Arbre gran d escorça grisenca i esquerdada. Fusta molt apreciada.;Flors masculines en aments penjants i femenines en grups petits de 1-5.;Aments (masculines) i espigues (femenines).;Arrel pivotant molt profunda i extensa.;Capacitat de rebrotar de soca si s esporga.;"Drupa globosa amb coberta verda (drupa) que s asseca; dins hi ha la nou llenyosa.";La nou pròpiament dita (el cervell), rica en greixos saludables.;Prop de masies, llocs frescos i horts.;Fulles a la primavera, nous a la tardor (per Sant Joan si són verdes per a licor).;Les fulles són astringents i antisèptiques (per a la pell). La nou és cardiosaludable.;Nata de nous, salsa de nous per a pasta i el famós licor de Ratafia (amb nous verdes).;L ombra de la noguera és freda i conté juglona, que pot inhibir el creixement d altres plantes al seu voltant.;fulla, fruit
17;Ortiga;Ortiga major, herba de cecs, estalladora;Urtica dioica;Urticàcies;Fulles oposades, de forma oval-cordada, amb marges dentats i cobertes de pèls urticants.;Tija quadrangular, erecta i plena de pèls urticants que contenen àcid fòrmic.;Flors minúscules i verdoses, agrupades en rams penjants.;Raïms axil·lars (aments).;Rizomes groguencs, ramificats i molt extensos.;Rebrota amb molta facilitat del rizoma formant colònies grans.;Petit aqueni.;Llavors abundants i nutritives.;Terres amb molta matèria orgànica, corrals, horts abandonats i marges.;Primavera, abans de florir (els brots més tendres).;Depurativa, remineralitzant, antianèmica (molt ferro) i diürètica. Ajuda contra la caiguda del cabell.;Sopes d ortigues, truites, bunyols o com si fossin espinacs (un cop cuites ja no piquen).;Els pèls urticants causen picor i irritació a la pell (usar guants per collir-les).;fulla, arrel, planta fresca
18;Parietària;Herba de mur, muret, vidriola, herba de paret.;Parietaria officinalis;Urticàcies;Fulles alternes, ovals o lanceolades, amb pèls no urticants però que s enganxen a la roba.;Tiges ramificades, sovint de color vermellós i trencadisses.;Flors minúscules i verdoses situades a les axil·les de les fulles.;Cimes axil·lars denses.;Arrel principal prima amb ramificacions que penetren en esquerdes.;Planta vivaç que rebrota amb facilitat en murs i runes.;Petit aqueni negre i brillant.;Llavors molt menudes dispersades pel vent.;Murs, parets de pedra seca i zones ombrívoles.;Primavera.;Diürètica i depurativa molt potent. S ha usat per a pedres al ronyó.;No s usa habitualment en cuina.;Molt al·lergògena (el seu pol·len causa molta asma i rinitis).;part aèria
19;Plantatge estret;Herba de cinc nervis, plantatge de fulla estreta, orella de llebre.;Plantago lanceolata;Plantaginàcies;Fulles lanceolades i llargues, amb 3 o 5 nervis paral·lels molt marcats, disposades en roseta basal.;Tija floral (escap) llarga i sense fulles, rematada per l espiga.;Flors minúscules amb estams llargs i blancs que sobresurten.;Espiga curta i globosa al capdamunt de l escap.;Arrel pivotant curta i fasciculada.;Planta perenne que rebrota de la base cada any.;Càpsula petita (pixidi) amb dues cavitats.;Llavors marrons i ovals.;Prats secs, marges de camins i zones trepitjades.;Primavera i estiu.;Gran antisèptic i cicatritzant. Molt bo per a picades d insectes (fregant la fulla) i per a la tos.;Fulles joves en amanida (gust de bolet).;Segura.;fulla, planta sencera
20;Plantatge major;Plantatge ample, herba de set nervis, cua de rata.;Plantago major;Plantaginàcies;Fulles ovals i amples, amb 5 o 7 nervis paral·lels, disposades en roseta basal arran de terra.;Escap floral llarg i dret, que porta l espiga en gairebé tota la seva longitud.;Flors verdoses i insignificants.;Espiga molt llarga i cilíndrica.;Arrel curta i amb moltes fibres.;Planta vivaç molt resistent al trepig.;Càpsula (pixidi) que s obre per la meitat.;Llavors abundants, buscades pels ocells.;Zones humides, horts i marges de camins.;Primavera i estiu.;Propietats similars al plantatge estret però més astringent. Ideal per a inflamacions de gola i genives.;Fulles joves comestibles. Llavors nutritives.;Segura.;Fulles i flors.
21;Rosella;Gallaret, quiquiriquic, ababol.;Papaver rhoeas;Papaveràcies;Fulles molt dividides en segments dentats, amb pèls aspres.;Tiges erectes i cobertes de pèls fins, contenen làtex blanc al tallar-les.;Quatre pètals grans de color vermell intens, sovint amb una taca negra a la base.;Flors solitàries al final de peduncles llargs.;Arrel pivotant i blanca.;Planta anual que neix de llavor cada primavera.;Càpsula globosa que s obre per petits porus sota el disc superior.;Llavors negres molt petites i nombroses.;Camps de cereals, marges i horts.;Primavera.;Sedant suau i antitussígena (especialment els pètals). Ajuda a dormir els nens.;Llavors en pastisseria. Fulles joves cuites (abans de florir).;Baixa-moderada. Segura en ús popular de pètals. Evitar el consum de la càpsula verda i les tiges en quantitat pel seu contingut en alcaloides.;pètals
22;Sàlvia;Sàlvia bona, herba sagrada, tòt-sana.;Salvia officinalis;Lamiàcies;Oblongues, rugoses, vellutades i de color verd grisenc.;Llenyosa a la base, quadrangular a les puntes.;Blau violaci, bilabiada.;Verticil·lastres en espiga.;Arrel potent i llenyosa.;Rebrota de la base formant mates.;4 núcules.;Petites i negres.;Zones assolellades.;Primavera.;Bucal, digestiva i hormonal femenina.;Carns i mantegues.;Evitar en embaràs (tujona).;fulla, summitat florida
23;Saüc;Saüquer, saüquet, flors de Sant Joan.;Sambucus nigra;Adoxàcies;Fulles compostes amb 5-7 folíols ovals i dentats, amb una olor forta característica.;"Arbret de tronc clapejat; medul·la blanca i esponjosa a l interior de les branques.";Flors blanques i petites, molt oloroses.;Grans corimbes aplanats.;Arrels ramificades i superficials.;Emet rebrots de soca amb molta força.;Baies negres i brillants (baies de saüc).;Petites llavors dins la baia.;Marges de rius, horts i llocs humits.;"Flors a la primavera; fruits a finals d estiu.";Antiviral (especialment per a la grip), sudorífica i diürètica.;Xarop de saüc, flors arrebossades i melmelada de baies.;Baies crues i llavors són tòxiques (poden causar vòmits). Cuinar sempre.;fulla, líber, baia, flor
24;Tila;Til·ler, tília, tell de fulla gran.;Tilia platyphyllos;Malvàcies;Fulles en forma de cor, amb el marge dentat i punta punteguda.;Arbre gran d escorça grisenca i llisa.;Flors blanc-grogoses, molt flairoses.;Cimes penjants unides a una bràctea allargada que ajuda a la dispersió.;Sistema radicular potent i profund.;Rebrota de soca.;Petit fruit sec i globós.;D una a dues llavors.;Boscos frescos i parcs.;Juny (floració).;Famosa per les seves propietats relaxants, sedants i digestives.;Infusió de les flors.;Segura.;Inflorescències (flors) amb la seva bràctea.
27;Coriandre;Coriandre, celiandre, cilantro.;Coriandrum sativum;Apiàcies;Fulles inferiors lobulades i superiors molt dividides i fines.;Erecta i estriada.;Petites flors blanques o rosades.;Umbel·les compostes.;Arrel fina i blanca.;Planta anual.;Fruit globós que conté dues llavors.;Marrons i molt aromàtiques.;Cultivat.;Primavera i estiu.;Digestiu i carminatiu (elimina gasos).;Cuina internacional i salses.;Segura.;Fruits (llavors) i fulles fresques.
28;Menta xocolata;Menta xocolatera.;"Mentha x piperita ""Chocolate""";Lamiàcies;Foscues, de color verd amb tons purpuris o marronosos, aroma que recorda la xocolata.;Quadrangular i purpúria.;Flors liles en espigues.;Espigues terminals.;Rizomes agressius.;S estén molt ràpid horitzontalment.;Rarament produeix fruits.;Estèril habitualment.;Horts i testos.;Estiu.;Digestiva i refrescant.;Postres i tes.;Segura.;Fulles i sumitats florides.
29;Marduix;Majorana, marduixí.;Origanum majorana;Lamiàcies;Petites, ovals i vellutades, d olor molt dolça.;Tija de color marró-vermellós.;Blanques o rosades.;Espigues globoses.;Arrels fines.;Rebrota de la base.;4 núcules.;Minúscules.;Cultivat.;Estiu.;Sedant suau i digestiu.;Cuina mediterrània.;Segura.;Fulles i sumitats florides.
30;Alfàbrega;Alfàbrega de fulla ampla, alfàbrega de test.;Ocimum basilicum;Lamiàcies;Grans, ovades, brillants i molt aromàtiques.;Erecta i ramificada.;Blanques.;Espigues de verticil·lastres.;Arrel prima.;Planta anual (mor amb el fred).;4 núcules.;Negres.;Horts.;Estiu.;Digestiva i contra les picades de mosquits.;Pesto i amanides.;Segura.;Fulles fresques i sumitats florides.
31;Ortiga blanca;Lami blanc, brossa morta.;Lamium album;Lamiàcies;"S assemblen a l ortiga però no piquen; són oposades i cordades.";Quadrangular i buida.;Grans flors blanques bilabiades.;Verticils axil·lars.;Rizoma rastrer.;Rebrota amb força.;4 núcules.;Marrons.;Marges ombrívols.;Primavera.;Emenagoga i per a problemes urinaris.;Sopes d herbes.;Segura.;"Flors i fulles; ocasionalment l'arrel."
32;Dauradella;Herba daurada, ruda de mur.;Ceterach officinarum;Aspleniàcies;Fulles lobulades, verdes per l anvers i cobertes d escates de color daurat/marró pel revers (per protegir-se de la sequera).;Fulles que neixen directament del rizoma, en roseta.;No té flors.;Sorus lineals amagats sota les escates del revers.;Arrels curtes que s introdueixen a les esquerdes de les roques.;"Planta poiquilohídrica: sembla morta quan s asseca però ""reviu"" i es posa verda amb la pluja.";No té fruits.;Espores.;Esquerdes de roques calcàries i parets de pedra seca exposades al sol.;Tot l any, especialment després de la pluja.;Molt valorada com a diürètica i per dissoldre càlculs renals (pedra de ronyó).;Infusió de la planta sencera seca.;No se n coneixen efectes tòxics a dosis terapèutiques.;parts aèries
33;Teix;Teixera.;Taxus baccata;Taxàcies;Fulles lineals, planes, de color verd fosc brillant per l anvers i més clar pel revers, disposades en dues files (distiques).;Arbre de creixement molt lent, escorça bruna-vermellosa que s escaia en plaques.;"Planta dioica. Flors masculines en aments groguencs; femenines aïllades i poc visibles.";Aïllades (femenines) o en petits grups axil·lars (masculines).;Sistema radicular potent i ramificat.;Té una gran capacitat de rebrotar de soca, fins i tot en exemplars molt vells.;Aril carnos de color roig viu (fals fruit) que envolta parcialment la llavor.;Llavor única, ovada i verda/marró, molt tòxica.;Llocs humits, ombrívols i de difícil accés (cingles i canals del Montseny).;Històricament les fulles, però actualment el seu ús casolà està prohibit.;Conté taxol (usat en quimioteràpia). Antigament usat per a malalties reumàtiques.;Cap. És un arbre protegit i perillosament verinós.;MORTAL. Tota la planta és altament tòxica (taxina), excepte la polpa roja del fruit.;arrel, rizoma
34;Pi roig;Pi de les pinedes, pi de fulla curta, pi de les boques, pi de l'escorça roja;Pinus sylvestris;Pinàcies;Fulles aciculars (agulles) curtes, de 3 a 7 cm, de color verd blavós, que van de dues en dues.;Tronc d escorça clarament ataronjada o rogenca a la part superior.;"Flors masculines grogues a la base dels brots; femenines en petites pinyes rogenques.";Conus o pinyes. Agrupats en els extrems de les branques.;Arrel pivotant forta amb potents ramificacions laterals.;No rebrotarà de soca si es talla per sota de les branques.;Pinyes petites (3-6 cm), ovals i de color bru i poc simètriques.;Pinyons petits, amb una ala llarga per ser dispersats pel vent.;Zones altes del Montseny, climes freds i humits.;Brot d hivern i primavera (els borrons). També la resina.;Antisèptic de les vies respiratòries, balsàmic i diürètic (per a la cistitis). Expectorant, diüreticouricosúric, rubefaent.;Xarop de borrons de pi (macerats amb sucre de canya o mel). Infusions respiratòries.;La resina pot causar dermatitis en pells sensibles.;gemma, fulla, branca jove, brea
35;Agrimoni;Herba de Sant Guillem, herba de les ferides.;Agrimonia eupatoria;Rosàcies;Fulles compostes, amb folíols grans i petits de forma alternada, amb el marge serrat i pèloses.;Tija erecta, cilíndrica i coberta de pèls, sovint d un color vermellós.;Flors petites, de cinc pètals grocs.;Espiga terminal llarga i estreta.;Rizoma curt i fibrós de color marró fosc.;Rebrota cada primavera de la soca perenne.;Aqueni amb petits ganxos (borradura) que s enganxen a la pell i a la roba.;Llavors menudes dins del fruit ganxut.;Marges de camins, prats humits i clarianes de bosc.;Quan la planta està florida (juny - agost).;Astringent (diarrees) i antiinflamatòria de la gola (molt usada per cantants i oradors).;Gargarismes d agrimoni per a l afonia. Infusió digestiva.;Baixa toxicitat, però pot interferir amb medicaments anticoagulants.;fulla, summitat florida
36;Espinalb;Arç blanc, cirerer de pastor, garguller.;Crataegus monogyna;Rosàcies;Fulles caduques, profundament lobulades (3-7 lobes), de color verd brillant.;Arbust o arbre petit amb branques molt espinoses i escorça grisenca.;Flors blanques (a vegades rosades) amb cinc pètals i molts estams de color granat.;Corimbes molt rics i flairosos que cobreixen la planta a la primavera.;Sistema radicular profund i molt ramificat.;Rebrota amb força de la soca, ideal per a tanques vives.;Fruit carnos (poma petita) de color vermell intens, anomenat cirereta de pastor.;Conté un sol pinyol (llavor) dur i llenyós al seu interior.;Bosc de ribera, marges i clarianes de l alzinar i la fageda.;Les flors al maig i els fruits a la tardor.;Regulador del ritme cardíac (palpitacions), hipotensor i sedant per a l insomni.;Infusió de flors seques. Melmelada de cireretes de pastor (requereix molta cocció).;No administrar juntament amb glucòsids cardíacs sense control mèdic.;summitat florida
37;Maduixera;Maduixera de bosc, maduixera silvestre.;Fragaria vesca;Rosàcies;Fulles trifoliades (tres folíols) amb el marge serrat i pèls suaus pel revers.;Planta herbàcia que treu unes tiges llargues i reptants anomenades estolons.;Flors blanques amb cinc pètals rodons i un centre groc ple d estams.;Petits grups d unes poques flors al capdamunt d una tija sense fulles.;Rizoma curt del qual surten les arrels i els estolons.;Es multiplica ràpidament mitjançant els estolons que arrelen en contacte amb el terra.;Receptacle carnos de color vermell (el que anomenem maduixa), molt aromàtic.;Els petits punts grocs (aquenis) que hi ha a la superfície de la maduixa.;Llocs frescos, ombrívols i humits, marges de boscos i camins.;"Les fulles a la primavera; els fruits a l estiu.";Fulles astringents (diarrees) i diürètiques. El fruit és ric en vitamina C i refrescant.;Infusió de fulles seques. Maduixes amb vi o sucre.;Algunes persones poden presentar al·lèrgia cutània al menjar el fruit.;rizoma, arrel, fulla
